https://govoritmoskva.ru/news/203757/	Начальник омской полиции избил машиниста в московском метро	Инцидент произошёл накануне поздно вечером на станции «Каширская».
https://nation-news.ru/460375-reshetova-khochet-zapisatsya-na-kulinarnye-kursy-chtoby-naiti-put-k-serdcu-timati	Решетова хочет записаться на кулинарные курсы, чтобы найти путь к сердцу Тимати	Модель и возлюбленная репера Тимати Анастасия Решетова в своем Instagram-аккаунте поинтересовалась у подписчиков, знают ли они хорошие профессиональные курсы в Москве. 
http://sports.ru/football/1075715589.html	«Бизнес Online»: Федун написал Бердыеву «Мудак!» после переговоров тренера со «Спартаком»	«Бизнес Online» раскрывает в своем материале новые детали переговоров между тренером Курбаном Бердыевым и «Спартаком», которые в итоге не привели к началу сотрудничества.
https://news.ru/shou-biznes/larisa-verbickaya-rasskazala-kak-izbavilas-ot-cellyulita/	Лариса Вербицкая рассказала, как избавилась от целлюлита	Популярная телеведущая Лариса Вербицкая поделилась со своими поклонниками рецептом бюджетного скраба для тела, который помог ей избавиться от целлюлита.
http://amurmedia.ru/news/835253	Сергей Фургал: Что ж вы все, кто там были, в упор не видели палатки? - AmurMedia	Глава региона провел экстренное совещание в связи с пожаром в детском лагере в Солнечном районе (ВИДЕО)
https://nation-news.ru/459177-gosha-kucenko-podkatyvaet-k-docheri-nikity-mikhalkova	Гоша Куценко "подкатывает" к дочери Никиты Михалкова	Дочь режиссера Никиты Михалкова Анна несколько дней назад выставила фотографию в Instagram. Гоша Куценко бурно отреагировал на нее в комментариях и признался Анне в любви.
http://www.ok-magazine.ru/stars/92205-megan-markl-raskritikovali-za-chto-ona-nepravilno-derzhala-syna-na-rukah	Меган Маркл раскритиковали за то, что она неправильно держала сына на руках	Поклонники королевской семьи заподозрили Меган в том, что она прибегла к услугам няни.         

http://fn-volga.ru/news/view/id/126979	За информацию о поджигателе саратовского правительства полиция обещает 100 тысяч рублей	За информацию о поджигателе саратовского правительства полиция обещает 100 тысяч рублей – самые достоверные новости Саратова в информационном агентстве «Свободные новости. FreeNews-Volga». Мы ежедневно рассказываем о новостях города и России
http://infox.ru/news/283/social/rupolitics/219328-pramaa-linia-zasla-v-tupik-vmeste-so-stranoj-martynov	Прямая линия зашла в тупик вместе со страной - Мартынов	Президент Путин в прямом эфире ответил на вопросы российских граждан: эфир длился 4 часа 8 минут, президент ответил на 81 вопрос.
https://nation-news.ru/464823-bareckii-rasskazal-o-perezhivaniyakh-matildy-shnurovoi-posle-razvoda	Барецкий рассказал о переживаниях Матильды Шнуровой после развода	Скандальный шоумен Стас Барецкий заявил, что экс-супруга Сергея Шнурова, Елена Мозговая (она же — Матильда), тяжело переживает разрыв со знаменитым рокером. Пара рассталась в прошлом году, о чем объявил сам Сергей через соцсети.
https://www.vesti.ru/doc.html?id=3162091	Задремавший тракторист опрокинул машину на чинившего ее водителя	Страшная авария произошла в Башкирии, где уснувший за рулем тракторист смял несколько автомобилей, отбросив одну из них на занимавшегося ремонтом мужчину. Камера наблюдения зафиксировала момент ДТП.
https://tvkultura.ru/article/show/article_id/346481/	СМОТРИМ ГЛАВНОЕ, ВЕСТИ, ФИЛЬМЫ, СЕРИАЛЫ, ШОУ И ЭФИР РОССИЙСКИХ КАНАЛОВ	Весь видео и аудио контент ВГТРК — фильмы, сериалы, шоу, концерты, передачи, интервью, мультфильмы, актуальные новости и темы дня, архив и прямой эфир всех телеканалов и радиостанций холдинга. ТВ программа. Смотрим - в хорошем качестве на любом устройстве и в удобное для вас время!
http://inkazan.ru/news/incident/25-06-2019/pytavshihsya-ubit-neskolkih-chelovek-muzhchin-zaderzhali-v-yugre	Пытавшихся убить нескольких человек мужчин задержали в Югре	Четверых мужчин задержали в Ханты-Мансийском автономном округе по подозрению в попытке убийства мужчины и двух женщин. | Inkazan
http://sports.ru/figure-skating/1076013594.html	Алина Загитова: «Думаю попробовать себя в модельном бизнесе. Я стала более раскрепощенной»	Олимпийская чемпионка по фигурному катанию Алина Загитова рассказала о том, как справляется с популярностью.
http://agroinvestor.ru/analytics/news/31945-analitiki-snizili-prognozy-eksporta-zerna-v-novom-sezone	Аналитики снизили прогнозы экспорта зерна в новом сезоне — Агроинвестор	Первое судно с новым урожаем пшеницы отправилось в Турцию
https://neonomad.kz/byla-luzha-krovi-selchanin-iz-almatinskoj-oblasti-obvinil-zamakima-v-izbienii/	«Была лужа крови»: сельчанин из Алматинской области обвинил замакима в избиении	Сельчанин из Алматинской области обвинил замакима в жестоком избиении. Якобы тот напал на него прямо у здания акимата, сломал челюсть. В акимате все обвинения
https://www.cosmo.ru/stars/news/21-06-2019/u-menya-est-grud-eks-nevestu-baskova-obidelo-sravnenie-s-buzovoy/	«У меня есть грудь»: экс-невесту Баскова обидело сравнение с Бузовой	38-летняя певица и модель Софи Кальчева заявила, что она красивее 33-летней звезды «Дома-2» Ольги Бузовой. Более того, бывшая невеста Николая Баскова утверждает, что поющая
http://lt.sputniknews.ru/incidents/20190623/9398144/Spasateli-rasskazali-o-koshmarnoy-situatsii-na-plyazhakh-Palangi.html	Спасатели рассказали о "кошмарной" ситуации на пляжах Паланги	В субботу были спасены пять человек, и все они оказались в состоянии алкогольного опьянения
